-754.000000 -526.000000 19.000000, -717.000000 -397.000000 -51.000000, -728.000000 -448.000000 153.000000, -318.000000 -463.000000 469.000000, 
-397.000000 -51.000000 -728.000000, -448.000000 153.000000 -318.000000, -463.000000 469.000000 -650.992126, -607.811096 -20.622223 -611.745483, 
153.000000 -318.000000 -463.000000, 469.000000 -650.992126 -607.811096, -20.622223 -611.745483 -416.610107, -49.235355 -615.564636 -439.697723, 
-650.992126 -607.811096 -20.622223, -611.745483 -416.610107 -49.235355, -615.564636 -439.697723 112.522812, -355.475037 -13.998440 617.277771, 
-416.610107 -49.235355 -615.564636, -439.697723 112.522812 -355.475037, -13.998440 617.277771 -649.713989, -618.580872 -34.829353 -616.831604, 
112.522812 -355.475037 -13.998440, 617.277771 -649.713989 -618.580872, -34.829353 -616.831604 -420.125732, -53.268742 -472.693268 -507.166290, 
-649.713989 -618.580872 -34.829353, -616.831604 -420.125732 -53.268742, -472.693268 -507.166290 266.333344, -373.007416 129.892792 652.544617, 
-420.125732 -53.268742 -472.693268, -507.166290 266.333344 -373.007416, 129.892792 652.544617 -654.366394, -611.621582 -20.068989 -629.495239, 
266.333344 -373.007416 129.892792, 652.544617 -654.366394 -611.621582, -20.068989 -629.495239 -418.935638, -1.497967 -280.625000 -531.567322, 
-654.366394 -611.621582 -20.068989, -629.495239 -418.935638 -1.497967, -280.625000 -531.567322 522.760803, -451.748291 505.543610 697.259094, 
-418.935638 -1.497967 -280.625000, -531.567322 522.760803 -451.748291, 505.543610 697.259094 -650.640442, -611.148682 -26.042961 -627.598572, 
522.760803 -451.748291 505.543610, 697.259094 -650.640442 -611.148682, -26.042961 -627.598572 -420.261993, 11.866407 -266.722443 -534.420776, 
-650.640442 -611.148682 -26.042961, -627.598572 -420.261993 11.866407, -266.722443 -534.420776 544.236389, -451.748291 505.543610 697.259094, 
-420.261993 11.866407 -266.722443, -534.420776 544.236389 -451.748291, 505.543610 697.259094 -645.932800, -611.911438 -33.353642 -620.278503, 
544.236389 -451.748291 505.543610, 697.259094 -645.932800 -611.911438, -33.353642 -620.278503 -423.023499, 18.061745 -258.527863 -536.782837, 
